,path,ans
481,13201,3
482,13202,5
483,13203,3
484,13210,3
485,13211,3
486,13212,3
487,13213,11
488,13220,9
489,13221,11
490,13222,5
491,13223,5
492,13230,11
493,13231,11
494,13232,11
495,13233,11
496,13300,11
497,13301,11
498,13302,11
499,13303,11
500,13310,11
501,13311,11
502,13312,11
503,13313,11
504,13320,11
505,13321,11
506,13322,11
507,13323,11
508,13330,11
509,13331,11
510,13332,11
511,13333,11
512,20000,9
513,20001,9
514,20002,1
515,20003,1
516,20010,9
517,20011,9
518,20012,1
519,20013,1
520,20020,9
521,20021,9
522,20022,1
523,20023,9
524,20030,9
525,20031,9
526,20032,8
527,20033,1
528,20100,9
529,20101,10
530,20102,1
531,20103,10
532,20110,9
533,20111,9
534,20112,9
535,20113,9
536,20120,1
537,20121,9
538,20122,9
539,20123,9
540,20130,9
541,20131,1
542,20132,9
543,20133,1
544,20200,1
545,20201,9
546,20202,9
547,20203,9
548,20210,1
549,20211,8
550,20212,1
551,20213,9
552,20220,1
553,20221,9
554,20222,9
555,20223,9
556,20230,9
557,20231,9
558,20232,1
559,20233,6
560,20300,9
561,20301,1
562,20302,9
563,20303,1
564,20310,1
565,20311,9
566,20312,10
567,20313,9
568,20320,9
569,20321,9
570,20322,1
571,20323,9
572,20330,9
573,20331,9
574,20332,1
575,20333,9
576,21000,1
577,21001,1
578,21002,9
579,21003,1
580,21010,9
581,21011,9
582,21012,1
583,21013,1
584,21020,9
585,21021,9
586,21022,9
587,21023,9
588,21030,1
589,21031,1
590,21032,9
591,21033,1
592,21100,1
593,21101,9
594,21102,1
595,21103,9
596,21110,9
597,21111,9
598,21112,9
599,21113,9
600,21120,9
601,21121,9
602,21122,9
603,21123,9
604,21130,9
605,21131,9
606,21132,9
607,21133,9
608,21200,9
609,21201,10
610,21202,9
611,21203,10
612,21210,10
613,21211,9
614,21212,10
615,21213,1
616,21220,9
617,21221,10
618,21222,1
619,21223,10
620,21230,9
621,21231,10
622,21232,9
623,21233,10
624,21300,9
625,21301,9
626,21302,0
627,21303,1
628,21310,9
629,21311,9
630,21312,10
631,21313,9
632,21320,9
633,21321,9
634,21322,10
635,21323,10
636,21330,1
637,21331,9
638,21332,1
639,21333,9
640,22000,1
641,22001,1
642,22002,9
643,22003,9
644,22010,1
645,22011,9
646,22012,1
647,22013,1
648,22020,9
649,22021,9
650,22022,9
651,22023,9
652,22030,9
653,22031,9
654,22032,9
655,22033,9
656,22100,9
657,22101,1
658,22102,9
659,22103,1
660,22110,1
661,22111,1
662,22112,1
663,22113,1
664,22120,9
665,22121,9
666,22122,9
667,22123,9
668,22130,9
669,22131,10
670,22132,10
671,22133,10
672,22200,9
673,22201,9
674,22202,9
675,22203,9
676,22210,9
677,22211,9
678,22212,9
679,22213,9
680,22220,9
681,22221,1
682,22222,1
683,22223,0
684,22230,9
685,22231,10
686,22232,0
687,22233,9
688,22300,9
689,22301,9
690,22302,9
691,22303,10
692,22310,10
693,22311,10
694,22312,10
695,22313,10
696,22320,9
697,22321,9
698,22322,1
699,22323,10
700,22330,9
701,22331,0
702,22332,1
703,22333,1
704,23000,1
705,23001,9
706,23002,9
707,23003,9
708,23010,9
709,23011,9
710,23012,9
711,23013,9
712,23020,1
713,23021,9
714,23022,9
715,23023,9
716,23030,9
717,23031,9
718,23032,4
719,23033,1
720,23100,10
721,23101,9
722,23102,9
723,23103,1
724,23110,9
725,23111,9
726,23112,1
727,23113,9
728,23120,10
729,23121,9
730,23122,1
731,23123,1
732,23130,1
733,23131,1
734,23132,9
735,23133,9
736,23200,1
737,23201,0
738,23202,10
739,23203,0
740,23210,5
741,23211,4
742,23212,9
743,23213,1
744,23220,8
745,23221,9
746,23222,1
747,23223,0
748,23230,1
749,23231,9
750,23232,0
751,23233,1
752,23300,1
753,23301,1
754,23302,1
755,23303,10
756,23310,1
757,23311,1
758,23312,1
759,23313,1
760,23320,10
761,23321,10
762,23322,10
763,23323,10
764,23330,1
765,23331,1
766,23332,1
767,23333,0
768,30000,9
769,30001,9
770,30002,9
771,30003,9
772,30010,1
773,30011,9
774,30012,1
775,30013,1
776,30020,9
777,30021,9
778,30022,1
779,30023,9
780,30030,9
781,30031,10
782,30032,10
783,30033,10
784,30100,10
785,30101,9
786,30102,10
787,30103,9
788,30110,1
789,30111,1
790,30112,1
791,30113,1
792,30120,10
793,30121,9
794,30122,10
795,30123,10
796,30130,1
797,30131,9
798,30132,10
799,30133,9
800,30200,9
801,30201,9
802,30202,9
803,30203,9
804,30210,9
805,30211,9
806,30212,1
807,30213,9
808,30220,9
809,30221,1
810,30222,1
811,30223,1
812,30230,9
813,30231,9
814,30232,4
815,30233,9
816,30300,9
817,30301,1
818,30302,1
819,30303,9
820,30310,10
821,30311,9
822,30312,9
823,30313,1
824,30320,1
825,30321,9
826,30322,1
827,30323,1
828,30330,9
829,30331,1
830,30332,1
831,30333,1
832,31000,1
833,31001,1
834,31002,1
835,31003,1
836,31010,4
837,31011,11
838,31012,1
839,31013,5
840,31020,1
841,31021,1
842,31022,1
843,31023,9
844,31030,9
845,31031,5
846,31032,1
847,31033,9
848,31100,11
849,31101,11
850,31102,11
851,31103,11
852,31110,11
853,31111,11
854,31112,11
855,31113,11
856,31120,4
857,31121,3
858,31122,5
859,31123,5
860,31130,11
861,31131,11
862,31132,4
863,31133,5
864,31200,9
865,31201,9
866,31202,9
867,31203,9
868,31210,4
869,31211,9
870,31212,4
871,31213,10
872,31220,1
873,31221,9
874,31222,9
875,31223,9
876,31230,9
877,31231,10
878,31232,1
879,31233,9
880,31300,9
881,31301,9
882,31302,1
883,31303,9
884,31310,9
885,31311,9
886,31312,9
887,31313,9
888,31320,11
889,31321,9
890,31322,1
891,31323,1
892,31330,1
893,31331,9
894,31332,9
895,31333,9
896,32000,9
897,32001,1
898,32002,9
899,32003,10
900,32010,1
901,32011,1
902,32012,1
903,32013,9
904,32020,9
905,32021,9
906,32022,9
907,32023,1
908,32030,9
909,32031,9
910,32032,9
911,32033,6
912,32100,8
913,32101,6
914,32102,0
915,32103,6
916,32110,1
917,32111,1
918,32112,1
919,32113,1
920,32120,1
921,32121,10
922,32122,9
923,32123,10
924,32130,10
925,32131,10
926,32132,10
927,32133,10
928,32200,1
929,32201,9
930,32202,8
931,32203,9
932,32210,9
933,32211,9
934,32212,9
935,32213,1
936,32220,1
937,32221,4
938,32222,1
939,32223,1
940,32230,9
941,32231,1
942,32232,1
943,32233,9
944,32300,9
945,32301,10
946,32302,1
947,32303,9
948,32310,10
949,32311,10
950,32312,10
951,32313,10
952,32320,10
953,32321,10
954,32322,10
955,32323,10
956,32330,10
957,32331,10
958,32332,10
959,32333,10
960,33000,1
961,33001,9
962,33002,10
963,33003,9
964,33010,9
965,33011,9
966,33012,9
967,33013,1
968,33020,1
969,33021,9
970,33022,10
971,33023,10
972,33030,9
973,33031,1
974,33032,9
975,33033,4
976,33100,1
977,33101,1
978,33102,5
979,33103,4
980,33110,9
981,33111,1
982,33112,10
983,33113,1
984,33120,1
985,33121,1
986,33122,1
987,33123,1
988,33130,10
989,33131,1
990,33132,9
991,33133,4
992,33200,10
993,33201,10
994,33202,10
995,33203,1
996,33210,9
997,33211,9
998,33212,9
999,33213,9
1000,33220,10
1001,33221,1
1002,33222,10
1003,33223,10
1004,33230,9
1005,33231,1
1006,33232,9
1007,33233,1
1008,33300,9
1009,33301,9
1010,33302,1
1011,33303,1
1012,33310,9
1013,33311,1
1014,33312,9
1015,33313,8
1016,33320,9
1017,33321,9
1018,33322,9
1019,33323,9
1020,33330,1
1021,33331,3
1022,33332,1
1023,33333,7
