,path,ans
0,00000,3
1,00001,9
2,00002,5
3,00003,1
4,00010,9
5,00011,9
6,00012,9
7,00013,3
8,00020,9
9,00021,9
10,00022,10
11,00023,1
12,00030,1
13,00031,7
14,00032,1
15,00033,9
16,00100,9
17,00101,9
18,00102,9
19,00103,4
20,00110,4
21,00111,9
22,00112,9
23,00113,3
24,00120,9
25,00121,4
26,00122,1
27,00123,4
28,00130,4
29,00131,3
30,00132,7
31,00133,4
32,00200,10
33,00201,1
34,00202,10
35,00203,1
36,00210,8
37,00211,1
38,00212,1
39,00213,9
40,00220,10
41,00221,10
42,00222,10
43,00223,10
44,00230,1
45,00231,9
46,00232,10
47,00233,10
48,00300,9
49,00301,9
50,00302,9
51,00303,9
52,00310,9
53,00311,10
54,00312,9
55,00313,8
56,00320,1
57,00321,9
58,00322,1
59,00323,9
60,00330,9
61,00331,4
62,00332,9
63,00333,9
64,01000,7
65,01001,3
66,01002,7
67,01003,3
68,01010,1
69,01011,2
70,01012,6
71,01013,9
72,01020,3
73,01021,3
74,01022,3
75,01023,2
76,01030,1
77,01031,3
78,01032,2
79,01033,3
80,01100,3
81,01101,3
82,01102,3
83,01103,3
84,01110,3
85,01111,3
86,01112,3
87,01113,3
88,01120,3
89,01121,3
90,01122,3
91,01123,3
92,01130,3
93,01131,3
94,01132,9
95,01133,3
96,01200,10
97,01201,1
98,01202,10
99,01203,1
100,01210,10
101,01211,4
102,01212,9
103,01213,1
104,01220,5
105,01221,1
106,01222,9
107,01223,9
108,01230,9
109,01231,3
110,01232,1
111,01233,9
112,01300,9
113,01301,9
114,01302,9
115,01303,4
116,01310,3
117,01311,1
118,01312,4
119,01313,3
120,01320,3
121,01321,2
122,01322,3
123,01323,9
124,01330,4
125,01331,3
126,01332,7
127,01333,3
128,02000,10
129,02001,1
130,02002,10
131,02003,9
132,02010,10
133,02011,9
134,02012,10
135,02013,10
136,02020,9
137,02021,9
138,02022,10
139,02023,9
140,02030,10
141,02031,10
142,02032,9
143,02033,9
144,02100,9
145,02101,9
146,02102,9
147,02103,9
148,02110,9
149,02111,9
150,02112,9
151,02113,4
152,02120,9
153,02121,9
154,02122,9
155,02123,10
156,02130,10
157,02131,9
158,02132,10
159,02133,10
160,02200,9
161,02201,9
162,02202,9
163,02203,9
164,02210,9
165,02211,9
166,02212,6
167,02213,9
168,02220,10
169,02221,9
170,02222,1
171,02223,1
172,02230,1
173,02231,1
174,02232,9
175,02233,9
176,02300,9
177,02301,9
178,02302,9
179,02303,9
180,02310,9
181,02311,10
182,02312,10
183,02313,0
184,02320,9
185,02321,10
186,02322,9
187,02323,1
188,02330,10
189,02331,10
190,02332,10
191,02333,9
192,03000,7
193,03001,5
194,03002,4
195,03003,1
196,03010,9
197,03011,9
198,03012,10
199,03013,7
200,03020,1
201,03021,11
202,03022,10
203,03023,10
204,03030,10
205,03031,9
206,03032,5
207,03033,5
208,03100,7
209,03101,9
210,03102,7
211,03103,9
212,03110,4
213,03111,4
214,03112,4
215,03113,0
216,03120,9
217,03121,1
218,03122,9
219,03123,6
220,03130,4
221,03131,0
222,03132,1
223,03133,1
224,03200,2
225,03201,2
226,03202,7
227,03203,1
228,03210,9
229,03211,1
230,03212,9
231,03213,9
232,03220,9
233,03221,9
234,03222,9
235,03223,9
236,03230,9
237,03231,1
238,03232,9
239,03233,9
240,03300,1
241,03301,9
242,03302,9
243,03303,3
244,03310,5
245,03311,9
246,03312,5
247,03313,5
248,03320,9
249,03321,2
250,03322,9
251,03323,1
252,03330,1
253,03331,9
254,03332,9
255,03333,1
256,10000,7
257,10001,9
258,10002,3
259,10003,3
260,10010,9
261,10011,9
262,10012,5
263,10013,4
264,10020,7
265,10021,4
266,10022,9
267,10023,7
268,10030,4
269,10031,7
270,10032,2
271,10033,7
272,10100,2
273,10101,7
274,10102,4
275,10103,7
276,10110,7
277,10111,7
278,10112,7
279,10113,7
280,10120,7
281,10121,7
282,10122,7
283,10123,4
284,10130,7
285,10131,4
286,10132,7
287,10133,4
288,10200,3
289,10201,7
290,10202,2
291,10203,2
292,10210,7
293,10211,7
294,10212,2
295,10213,7
296,10220,4
297,10221,5
298,10222,7
299,10223,7
300,10230,10
301,10231,4
302,10232,4
303,10233,4
304,10300,7
305,10301,7
306,10302,9
307,10303,9
308,10310,7
309,10311,1
310,10312,1
311,10313,9
312,10320,4
313,10321,9
314,10322,10
315,10323,4
316,10330,1
317,10331,1
318,10332,7
319,10333,3
320,11000,5
321,11001,7
322,11002,7
323,11003,7
324,11010,7
325,11011,4
326,11012,7
327,11013,4
328,11020,4
329,11021,7
330,11022,10
331,11023,7
332,11030,7
333,11031,4
334,11032,4
335,11033,4
336,11100,11
337,11101,11
338,11102,11
339,11103,11
340,11110,11
341,11111,11
342,11112,11
343,11113,11
344,11120,11
345,11121,11
346,11122,11
347,11123,11
348,11130,11
349,11131,11
350,11132,3
351,11133,11
352,11200,10
353,11201,10
354,11202,3
355,11203,9
356,11210,5
357,11211,4
358,11212,5
359,11213,9
360,11220,3
361,11221,1
362,11222,10
363,11223,8
364,11230,1
365,11231,1
366,11232,1
367,11233,9
368,11300,9
369,11301,9
370,11302,4
371,11303,11
372,11310,4
373,11311,9
374,11312,4
375,11313,4
376,11320,10
377,11321,4
378,11322,9
379,11323,1
380,11330,4
381,11331,1
382,11332,5
383,11333,5
384,12000,4
385,12001,4
386,12002,7
387,12003,9
388,12010,4
389,12011,11
390,12012,1
391,12013,3
392,12020,1
393,12021,3
394,12022,1
395,12023,9
396,12030,4
397,12031,4
398,12032,4
399,12033,5
400,12100,9
401,12101,9
402,12102,5
403,12103,3
404,12110,7
405,12111,7
406,12112,3
407,12113,7
408,12120,3
409,12121,7
410,12122,5
411,12123,5
412,12130,5
413,12131,5
414,12132,0
415,12133,1
416,12200,5
417,12201,0
418,12202,4
419,12203,9
420,12210,5
421,12211,5
422,12212,1
423,12213,0
424,12220,1
425,12221,4
426,12222,1
427,12223,4
428,12230,1
429,12231,1
430,12232,4
431,12233,9
432,12300,10
433,12301,5
434,12302,1
435,12303,1
436,12310,1
437,12311,6
438,12312,9
439,12313,6
440,12320,8
441,12321,1
442,12322,10
443,12323,1
444,12330,4
445,12331,5
446,12332,1
447,12333,1
448,13000,10
449,13001,10
450,13002,10
451,13003,1
452,13010,1
453,13011,1
454,13012,9
455,13013,9
456,13020,1
457,13021,9
458,13022,9
459,13023,5
460,13030,5
461,13031,3
462,13032,3
463,13033,3
464,13100,9
465,13101,1
466,13102,1
467,13103,11
468,13110,11
469,13111,4
470,13112,11
471,13113,3
472,13120,4
473,13121,11
474,13122,11
475,13123,11
476,13130,11
477,13131,3
478,13132,11
479,13133,11
480,13200,6
